Acc_X,Acc_Y,Acc_Z
-0.213937,-9.93027,-0.367291
-0.209367,-9.937303,-0.361134
-0.202402,-9.932513,-0.37506
-0.218724,-9.932905,-0.373996
-0.219378,-9.927072,-0.368097
-0.22567,-9.933383,-0.36418
-0.224604,-9.931643,-0.360478
-0.074759,-9.961316,-0.593882
-0.084575,-9.960537,-0.663373
-0.045109,-9.954329,-0.694863
0.050877,-9.941084,-0.823785
0.059556,-9.943957,-0.829531
-0.022038,-9.948669,-0.685993
0.028551,-9.945574,-0.760518
0.068561,-9.94127,-0.839984
0.036212,-9.942042,-0.822169
0.018773,-9.944644,-0.787148
0.022685,-9.94737,-0.769975
0.02367,-9.945296,-0.775123
0.011073,-9.945694,-0.778235
-0.003412,-9.947847,-0.752557
0.003156,-9.945678,-0.759669
0.039444,-9.944316,-0.832584
0.018974,-9.943838,-0.802716
-0.014801,-9.947745,-0.729524
-0.005387,-9.948267,-0.765127
0.014801,-9.94671,-0.77681
-0.014964,-9.952371,-0.741767
-0.062728,-9.956348,-0.674985
-0.063011,-9.954003,-0.647087
-0.042198,-9.95527,-0.683425
-0.040941,-9.955749,-0.680971
-0.064883,-9.955869,-0.660022
-0.071772,-9.956396,-0.649373
-0.054958,-9.956886,-0.666023
-0.051834,-9.953654,-0.690129
-0.054708,-9.954732,-0.698688
-0.0752,-9.95471,-0.666568
-0.066918,-9.954014,-0.646375
-0.046252,-9.955417,-0.682239
-0.01529,-9.95139,-0.736326
-0.022266,-9.951499,-0.72676
-0.029547,-9.952043,-0.699923
-0.045849,-9.95557,-0.65637
-0.04537,-9.957785,-0.661338
-0.035587,-9.953458,-0.676471
-0.006704,-9.952936,-0.728376
-0.008924,-9.952806,-0.725389
-0.018615,-9.952278,-0.689231
-0.018615,-9.954372,-0.690667
-0.03624,-9.955199,-0.679083
-0.062908,-9.956766,-0.641826
-0.058984,-9.957974,-0.629784
-0.040103,-9.958084,-0.652366
-0.031603,-9.955988,-0.668341
-0.008815,-9.95471,-0.699597
0.019094,-9.950243,-0.767521
0.071587,-9.945635,-0.830429
0.028894,-9.947689,-0.764839
0.022206,-9.955091,-0.696533
0.015345,-9.953132,-0.719349
0.031669,-9.946656,-0.750746
0.022924,-9.95144,-0.768359
0.012025,-9.955091,-0.711241
-0.027354,-9.958982,-0.62782
-0.052732,-9.960238,-0.621595
-0.049299,-9.960369,-0.619282
-0.036751,-9.959341,-0.649607
-0.013005,-9.958791,-0.679137
0.024921,-9.955308,-0.714234
0.018974,-9.952577,-0.698628
-0.016379,-9.95841,-0.644584
-0.033279,-9.957186,-0.625545
0.011911,-9.957126,-0.687315
0.03477,-9.955036,-0.711078
0.049734,-9.952261,-0.73366
0.011911,-9.954073,-0.688213
-0.01997,-9.956885,-0.671574
0.007302,-9.95515,-0.707906
0.013603,-9.952097,-0.725878
0.019692,-9.950602,-0.729154
0.024241,-9.950662,-0.758782
0.005278,-9.953622,-0.741658
-0.012189,-9.957756,-0.678321
-0.030526,-9.953595,-0.668102
0.012134,-9.953132,-0.704657
0.006943,-9.957006,-0.719936
-0.008434,-9.956343,-0.68768
-0.04112,-9.957126,-0.634284
-0.030472,-9.958899,-0.628859
-0.022625,-9.953413,-0.684083
-0.006802,-9.952424,-0.710969
0.032485,-9.948726,-0.763043
0.027354,-9.94743,-0.793498
0.003412,-9.944736,-0.783562
-0.001578,-9.950574,-0.74155
-0.030107,-9.954014,-0.700065
-0.019154,-9.948833,-0.720328
-0.010447,-9.950356,-0.746229
-0.035913,-9.955449,-0.720116
-0.036512,-9.952152,-0.689421
-0.004968,-9.951619,-0.72664
0.027152,-9.944045,-0.802275
